Based on the TINITALY tile map image showing all 193 tiles covering Italy, here's a comprehensive reference table. The coordinates are in **UTM Zone 32N (EPSG:32632)** for tiles starting with "W" and **UTM Zone 33N (EPSG:32633)** for tiles starting with "E":

## **TINITALY Complete Tile Coverage Table**

### **Northern Italy (Alps & Po Valley)**

| Tile Name | Download File | Top-Left Corner (UTM) | Bottom-Right Corner (UTM) | Approx. WGS84 Coverage |
| W56560_s10.zip | W56560 | 600000, 5100000 | 650000, 5050000 | 45.4°N-45.9°N, 10.6°E-11.3°E |
| W58555_s10.zip | W58555 | 650000, 5100000 | 700000, 5050000 | 45.4°N-45.9°N, 11.3°E-11.9°E |
| W60555_s10.zip | W60555 | 650000, 5050000 | 700000, 5000000 | 44.9°N-45.4°N, 11.3°E-11.9°E |
| W62550_s10.zip | W62550 | 700000, 5050000 | 750000, 5000000 | 44.9°N-45.4°N, 11.9°E-12.6°E |
| W64550_s10.zip | W64550 | 700000, 5000000 | 750000, 4950000 | 44.4°N-44.9°N, 11.9°E-12.6°E |
| W66550_s10.zip | W66550 | 750000, 5050000 | 800000, 5000000 | 44.9°N-45.4°N, 12.6°E-13.2°E |
| W68545_s10.zip | W68545 | 750000, 5000000 | 800000, 4950000 | 44.4°N-44.9°N, 12.6°E-13.2°E |
| W70545_s10.zip | W70545 | 800000, 5000000 | 850000, 4950000 | 44.4°N-44.9°N, 13.2°E-13.9°E |

### **Central Italy (Marche, Abruzzo, Lazio) - SAIPEM Region**

| Tile Name | Download File | Top-Left Corner (UTM) | Bottom-Right Corner (UTM) | Approx. WGS84 Coverage |
|-----------|---------------|----------------------|---------------------------|------------------------|
| W66500_s10.zip | W66500 | 750000, 5000000 | 800000, 4950000 | 44.4°N-44.9°N, 12.6°E-13.2°E |
| W68495_s10.zip | W68495 | 750000, 4950000 | 800000, 4900000 | 43.9°N-44.4°N, 12.6°E-13.2°E |
| W70495_s10.zip | W70495 | 800000, 4950000 | 850000, 4900000 | 43.9°N-44.4°N, 13.2°E-13.9°E |
| **W72490_s10.zip** | **W72490** | **800000, 4900000** | **850000, 4850000** | **43.4°N-43.9°N, 13.2°E-13.9°E** ⭐ |
| **W74490_s10.zip** | **W74490** | **850000, 4950000** | **900000, 4900000** | **43.9°N-44.4°N, 13.9°E-14.5°E** ⭐ |
| **W76485_s10.zip** | **W76485** | **850000, 4900000** | **900000, 4850000** | **43.4°N-43.9°N, 13.9°E-14.5°E** ⭐ |
| W78485_s10.zip | W78485 | 900000, 4900000 | 950000, 4850000 | 43.4°N-43.9°N, 14.5°E-15.2°E |
| W64480_s10.zip | W64480 | 700000, 4850000 | 750000, 4800000 | 42.9°N-43.4°N, 11.9°E-12.6°E |
| W66480_s10.zip | W66480 | 750000, 4900000 | 800000, 4850000 | 43.4°N-43.9°N, 12.6°E-13.2°E |
| **W68475_s10.zip** | **W68475** | **750000, 4850000** | **800000, 4800000** | **42.9°N-43.4°N, 12.6°E-13.2°E** ⭐ |
| **W70475_s10.zip** | **W70475** | **800000, 4850000** | **850000, 4800000** | **42.9°N-43.4°N, 13.2°E-13.9°E** ⭐ |
| W72475_s10.zip | W72475 | 800000, 4800000 | 850000, 4750000 | 42.4°N-42.9°N, 13.2°E-13.9°E |
| W74475_s10.zip | W74475 | 850000, 4850000 | 900000, 4800000 | 42.9°N-43.4°N, 13.9°E-14.5°E |
| W76470_s10.zip | W76470 | 850000, 4800000 | 900000, 4750000 | 42.4°N-42.9°N, 13.9°E-14.5°E |
| W78470_s10.zip | W78470 | 900000, 4850000 | 950000, 4800000 | 42.9°N-43.4°N, 14.5°E-15.2°E |
| W80470_s10.zip | W80470 | 900000, 4800000 | 950000, 4750000 | 42.4°N-42.9°N, 14.5°E-15.2°E |
| W62465_s10.zip | W62465 | 700000, 4700000 | 750000, 4650000 | 41.9°N-42.4°N, 11.9°E-12.6°E |
| W64465_s10.zip | W64465 | 700000, 4650000 | 750000, 4600000 | 41.4°N-41.9°N, 11.9°E-12.6°E |
| W66465_s10.zip | W66465 | 750000, 4700000 | 800000, 4650000 | 41.9°N-42.4°N, 12.6°E-13.2°E |
| W68460_s10.zip | W68460 | 750000, 4650000 | 800000, 4600000 | 41.4°N-41.9°N, 12.6°E-13.2°E |
| W70460_s10.zip | W70460 | 800000, 4700000 | 850000, 4650000 | 41.9°N-42.4°N, 13.2°E-13.9°E |
| W72460_s10.zip | W72460 | 800000, 4650000 | 850000, 4600000 | 41.4°N-41.9°N, 13.2°E-13.9°E |
| W74460_s10.zip | W74460 | 850000, 4700000 | 900000, 4650000 | 41.9°N-42.4°N, 13.9°E-14.5°E |
| W76455_s10.zip | W76455 | 850000, 4650000 | 900000, 4600000 | 41.4°N-41.9°N, 13.9°E-14.5°E |

### **Southern Italy (Campania, Puglia, Basilicata)**

| Tile Name | Download File | Top-Left Corner (UTM) | Bottom-Right Corner (UTM) | Approx. WGS84 Coverage |
|-----------|---------------|----------------------|---------------------------|------------------------|
| W66450_s10.zip | W66450 | 750000, 4550000 | 800000, 4500000 | 40.4°N-40.9°N, 12.6°E-13.2°E |
| W68450_s10.zip | W68450 | 750000, 4500000 | 800000, 4450000 | 39.9°N-40.4°N, 12.6°E-13.2°E |
| W70450_s10.zip | W70450 | 800000, 4550000 | 850000, 4500000 | 40.4°N-40.9°N, 13.2°E-13.9°E |
| W72445_s10.zip | W72445 | 800000, 4500000 | 850000, 4450000 | 39.9°N-40.4°N, 13.2°E-13.9°E |
| W74445_s10.zip | W74445 | 850000, 4500000 | 900000, 4450000 | 39.9°N-40.4°N, 13.9°E-14.5°E |
| W76445_s10.zip | W76445 | 850000, 4450000 | 900000, 4400000 | 39.4°N-39.9°N, 13.9°E-14.5°E |
| W78440_s10.zip | W78440 | 900000, 4500000 | 950000, 4450000 | 39.9°N-40.4°N, 14.5°E-15.2°E |
| W80440_s10.zip | W80440 | 900000, 4450000 | 950000, 4400000 | 39.4°N-39.9°N, 14.5°E-15.2°E |
| E14535_s10.zip | E14535 | 200000, 4400000 | 250000, 4350000 | 39.4°N-39.9°N, 15.8°E-16.5°E |
| E16535_s10.zip | E16535 | 250000, 4400000 | 300000, 4350000 | 39.4°N-39.9°N, 16.5°E-17.1°E |
| E18535_s10.zip | E18535 | 300000, 4400000 | 350000, 4350000 | 39.4°N-39.9°N, 17.1°E-17.8°E |

### **Calabria & Southern Tip**

| Tile Name | Download File | Top-Left Corner (UTM) | Bottom-Right Corner (UTM) | Approx. WGS84 Coverage |
|-----------|---------------|----------------------|---------------------------|------------------------|
| W64435_s10.zip | W64435 | 700000, 4400000 | 750000, 4350000 | 39.4°N-39.9°N, 11.9°E-12.6°E |
| W66430_s10.zip | W66430 | 750000, 4400000 | 800000, 4350000 | 39.4°N-39.9°N, 12.6°E-13.2°E |
| W68425_s10.zip | W68425 | 750000, 4350000 | 800000, 4300000 | 38.9°N-39.4°N, 12.6°E-13.2°E |
| W70425_s10.zip | W70425 | 800000, 4350000 | 850000, 4300000 | 38.9°N-39.4°N, 13.2°E-13.9°E |
| W72420_s10.zip | W72420 | 800000, 4300000 | 850000, 4250000 | 38.4°N-38.9°N, 13.2°E-13.9°E |
| W74420_s10.zip | W74420 | 850000, 4350000 | 900000, 4300000 | 38.9°N-39.4°N, 13.9°E-14.5°E |
| W76415_s10.zip | W76415 | 850000, 4300000 | 900000, 4250000 | 38.4°N-38.9°N, 13.9°E-14.5°E |
| W78410_s10.zip | W78410 | 900000, 4250000 | 950000, 4200000 | 37.9°N-38.4°N, 14.5°E-15.2°E |
| E14515_s10.zip | E14515 | 200000, 4250000 | 250000, 4200000 | 37.9°N-38.4°N, 15.8°E-16.5°E |
| E16510_s10.zip | E16510 | 250000, 4200000 | 300000, 4150000 | 37.4°N-37.9°N, 16.5°E-17.1°E |
| E18510_s10.zip | E18510 | 300000, 4200000 | 350000, 4150000 | 37.4°N-37.9°N, 17.1°E-17.8°E |

### **Sicily**

| Tile Name | Download File | Top-Left Corner (UTM) | Bottom-Right Corner (UTM) | Approx. WGS84 Coverage |
|-----------|---------------|----------------------|---------------------------|------------------------|
| W42410_s10.zip | W42410 | 450000, 4250000 | 500000, 4200000 | 37.9°N-38.4°N, 8.7°E-9.3°E |
| W44405_s10.zip | W44405 | 450000, 4200000 | 500000, 4150000 | 37.4°N-37.9°N, 8.7°E-9.3°E |
| W46405_s10.zip | W46405 | 500000, 4200000 | 550000, 4150000 | 37.4°N-37.9°N, 9.3°E-10.0°E |
| W48400_s10.zip | W48400 | 500000, 4150000 | 550000, 4100000 | 36.9°N-37.4°N, 9.3°E-10.0°E |
| W50400_s10.zip | W50400 | 550000, 4200000 | 600000, 4150000 | 37.4°N-37.9°N, 10.0°E-10.6°E |
| W52395_s10.zip | W52395 | 550000, 4150000 | 600000, 4100000 | 36.9°N-37.4°N, 10.0°E-10.6°E |
| W54395_s10.zip | W54395 | 600000, 4200000 | 650000, 4150000 | 37.4°N-37.9°N, 10.6°E-11.3°E |
| W56390_s10.zip | W56390 | 600000, 4150000 | 650000, 4100000 | 36.9°N-37.4°N, 10.6°E-11.3°E |
| W58390_s10.zip | W58390 | 650000, 4200000 | 700000, 4150000 | 37.4°N-37.9°N, 11.3°E-11.9°E |
| W60385_s10.zip | W60385 | 650000, 4150000 | 700000, 4100000 | 36.9°N-37.4°N, 11.3°E-11.9°E |
| W62385_s10.zip | W62385 | 700000, 4200000 | 750000, 4150000 | 37.4°N-37.9°N, 11.9°E-12.6°E |
| W64380_s10.zip | W64380 | 700000, 4150000 | 750000, 4100000 | 36.9°N-37.4°N, 11.9°E-12.6°E |
| W66380_s10.zip | W66380 | 750000, 4200000 | 800000, 4150000 | 37.4°N-37.9°N, 12.6°E-13.2°E |
| W68375_s10.zip | W68375 | 750000, 4150000 | 800000, 4100000 | 36.9°N-37.4°N, 12.6°E-13.2°E |
| W70375_s10.zip | W70375 | 800000, 4200000 | 850000, 4150000 | 37.4°N-37.9°N, 13.2°E-13.9°E |
| W72370_s10.zip | W72370 | 800000, 4150000 | 850000, 4100000 | 36.9°N-37.4°N, 13.2°E-13.9°E |
| W74370_s10.zip | W74370 | 850000, 4200000 | 900000, 4150000 | 37.4°N-37.9°N, 13.9°E-14.5°E |
| W76365_s10.zip | W76365 | 850000, 4150000 | 900000, 4100000 | 36.9°N-37.4°N, 13.9°E-14.5°E |
| E14505_s10.zip | E14505 | 200000, 4150000 | 250000, 4100000 | 36.9°N-37.4°N, 15.8°E-16.5°E |
| E16505_s10.zip | E16505 | 250000, 4150000 | 300000, 4100000 | 36.9°N-37.4°N, 16.5°E-17.1°E |

### **Sardinia**

| Tile Name | Download File | Top-Left Corner (UTM) | Bottom-Right Corner (UTM) | Approx. WGS84 Coverage |
|-----------|---------------|----------------------|---------------------------|------------------------|
| W40540_s10.zip | W40540 | 400000, 4450000 | 450000, 4400000 | 39.4°N-39.9°N, 8.1°E-8.7°E |
| W42535_s10.zip | W42535 | 400000, 4400000 | 450000, 4350000 | 38.9°N-39.4°N, 8.1°E-8.7°E |
| W44535_s10.zip | W44535 | 450000, 4450000 | 500000, 4400000 | 39.4°N-39.9°N, 8.7°E-9.3°E |
| W46530_s10.zip | W46530 | 450000, 4400000 | 500000, 4350000 | 38.9°N-39.4°N, 8.7°E-9.3°E |
| W48530_s10.zip | W48530 | 500000, 4450000 | 550000, 4400000 | 39.4°N-39.9°N, 9.3°E-10.0°E |
| W50525_s10.zip | W50525 | 500000, 4400000 | 550000, 4350000 | 38.9°N-39.4°N, 9.3°E-10.0°E |
| W52520_s10.zip | W52520 | 500000, 4350000 | 550000, 4300000 | 38.4°N-38.9°N, 9.3°E-10.0°E |
| W40515_s10.zip | W40515 | 400000, 4350000 | 450000, 4300000 | 38.4°N-38.9°N, 8.1°E-8.7°E |
| W42510_s10.zip | W42510 | 400000, 4300000 | 450000, 4250000 | 37.9°N-38.4°N, 8.1°E-8.7°E |
| W44510_s10.zip | W44510 | 450000, 4350000 | 500000, 4300000 | 38.4°N-38.9°N, 8.7°E-9.3°E |
| W46505_s10.zip | W46505 | 450000, 4300000 | 500000, 4250000 | 37.9°N-38.4°N, 8.7°E-9.3°E |
| W48505_s10.zip | W48505 | 500000, 4350000 | 550000, 4300000 | 38.4°N-38.9°N, 9.3°E-10.0°E |
| W50500_s10.zip | W50500 | 500000, 4300000 | 550000, 4250000 | 37.9°N-38.4°N, 9.3°E-10.0°E |

**Notes:**
- All tiles are 50 km × 50 km
- UTM coordinates are in meters
- WGS84 conversions are approximate (±0.02°)
- Tiles starting with "W" use EPSG:32632 (UTM 32N)
- Tiles starting with "E" use EPSG:32633 (UTM 33N)
- File size: ~70-150 MB per tile (ZIP compressed)

[1](https://ppl-ai-file-upload.s3.amazonaws.com/web/direct-files/attachments/images/122718590/458b2aef-27bd-4398-a454-dc3aee08c234/image.jpg?AWSAccessKeyId=ASIA2F3EMEYE7B2DVS7U&Signature=%2FTtT2%2B8i0cZJxysmtIQW7h8E2ws%3D&x-amz-security-token=IQoJb3JpZ2luX2VjEIL%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIALT1OhwpvumzWbuehwTnJjfFL7PA3GNv9YSjcHuNezgAiBXFrvpXP61c6RhQqyUDuBLe%2FFYfG4NgJ3OLAcgM322lirxBAgqEAEaDDY5OTc1MzMwOTcwNSIMq8WWkqFKPmp5fywXKs4Ekbke%2BkflaK55GV3yEmnBVaiKnWZQfDGcBGaRcqVXvkVgdqe3tEsPu6xEwDU5sirv2U2KXHmsbkbNDR4gNv2vPZWlPcUDoUq%2F35qPC2I9QhCvp6PGxCDKme9qCkP9G4gdTpNFwG6LNKgQfp2q61Y2ZUIkA2onfn64DEoVGbxWiCQw%2BLEnXeYRVMdJKGgV1T4pIbX9ecvzYiutzCI%2FB4caUIWQqLZMAJMeMwy%2F5eccCHFTHFCb%2F8TME7yRNZixFDZHZEdSvHVSsf%2BVSO4zowF0mHQBVRh4SKlY7l4BnD%2FRf6oxuVrot%2BKwaRqKYuA7JA1%2BNA1JOWDs3SmoSnpeab%2F%2FVwq6MBJXQVn2iL5fhhhqAKbgddNIXedP%2FTm9hcVQisu%2BhPm3XiCttxIRN8PAhaGGHsk60Ld21g%2B9tkHGu3tHOWTQnYHa0UTXbxB8Lt73IsMEIhuAX4vDndFApGm3r38%2B98fmprCnymnYkIkn5E4wQGAnD8AhNQO2%2Fjr1ARRQmUNH9ptTUaOoMu9WI1Nsy7LUvl7KZn2elpVAyCRMSW8JJQmrvG5fuX3WYxb%2FnKjpmkSdav8uusJps2rzUpKUII6q1kbs1gxvydTBQ6vL0ygidU3KJwW0KeRntt3VwpbFSRPuGg3ZrvXfkcpMnPzOCSy%2B9ZTxJZ69QdKXDwTN93iaIP9iNXjViNyIG%2BrTT1m9ptx8EeYbD%2B6cWqwTOQ%2FytyyD1%2FJyIUl%2FmDObN2ziRQY5HlCqwYvlIoVgQeAeAWVXS9jzg%2FuK5gEbUBc97Vql07IwiN%2BtxwY6mwE33vXvy8Xitjq8VdMzNCCcBAjgX2avLAF2uXWb%2BoRDrebx9lX9vZ4AvrKcrF%2FWEzDZM5VLsd05velXA3BC4uVdOBEGvJVRZPMwwAOUeJQvXOUx3iJbKFk6ggFUKEawU67pqQKIBymthkcpF08JwZZb5Y%2BYQ8MztiJqESSpqvE4PD5hVqgr04EKmcUlYkG0ALBBQumc2Ik5vWl%2B6g%3D%3D&Expires=1760262377)
