Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
Australia,AU,NVIS Vegetation,Australian Govt,100,Vector,Australia (national),nvis_fetch (guidance),Free/Open,~5 years,"National Vegetation Information System"
Saudi Arabia,SA,ESA WorldCover 2021,ESA,10,Raster,Saudi Arabia (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for KSA"
Saudi Arabia,SA,Google Dynamic World,Google/WRI,10,Raster,Saudi Arabia (use global),google_dynamicworld_fetch,Free/Open,Near real-time,"Probabilistic land cover"
UAE,AE,ESA WorldCover 2021,ESA,10,Raster,UAE (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for UAE"
UAE,AE,Google Dynamic World,Google/WRI,10,Raster,UAE (use global),google_dynamicworld_fetch,Free/Open,Near real-time,"Near real-time classification"
Qatar,QA,ESA WorldCover 2021,ESA,10,Raster,Qatar (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Qatar"
Kuwait,KW,ESA WorldCover 2021,ESA,10,Raster,Kuwait (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Kuwait"
Iraq,IQ,ESA WorldCover 2021,ESA,10,Raster,Iraq (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Iraq"
Iran,IR,ESA WorldCover 2021,ESA,10,Raster,Iran (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Iran"
Brazil,BR,MapBiomas Collection 8,MapBiomas,30,Raster,Brazil (1985-2023),mapbiomas_fetch (guidance),Free/Open,Annual,"Annual land cover 1985-2023, Brazilian biomes"
Brazil,BR,TerraClass Amazonia,INPE,30,Raster,Brazilian Amazon,terraclass_fetch (guidance),Free/Open,Biennial,"Amazon deforestation and land use"
Venezuela,VE,ESA WorldCover 2021,ESA,10,Raster,Venezuela (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Venezuela"
Mexico,MX,ESA WorldCover 2021,ESA,10,Raster,Mexico (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Mexico"
Mexico,MX,INEGI Land Use Series VII,INEGI Mexico,250000,Vector,Mexico (national),inegi_landuse_fetch (guidance),Free/Open,~5 years,"National land use and vegetation, scale 1:250k"
Nigeria,NG,ESA WorldCover 2021,ESA,10,Raster,Nigeria (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Nigeria"
Algeria,DZ,ESA WorldCover 2021,ESA,10,Raster,Algeria (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Algeria"
Angola,AO,ESA WorldCover 2021,ESA,10,Raster,Angola (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Angola"
Libya,LY,ESA WorldCover 2021,ESA,10,Raster,Libya (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Libya"
Kazakhstan,KZ,ESA WorldCover 2021,ESA,10,Raster,Kazakhstan (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Kazakhstan"
Oman,OM,ESA WorldCover 2021,ESA,10,Raster,Oman (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Oman"
Indonesia,ID,ESA WorldCover 2021,ESA,10,Raster,Indonesia (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Indonesia"
Malaysia,MY,ESA WorldCover 2021,ESA,10,Raster,Malaysia (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Malaysia"
Azerbaijan,AZ,ESA WorldCover 2021,ESA,10,Raster,Azerbaijan (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Azerbaijan"
Egypt,EG,ESA WorldCover 2021,ESA,10,Raster,Egypt (use global),esa_worldcover_fetch,Free/Open,Annual,"Best available for Egypt"



