Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
USA,US,BLM Surface Management,BLM,Vector,Vector,USA (western states),blm_surface_fetch (guidance),Public Domain,Annual,"Bureau of Land Management lands"
USA,US,State Parks,Various states,Vector,Vector,USA (by state),state_parks_fetch (guidance),Varies,Varies,"10000+ state parks, county-level data"
Canada,CA,Canadian Protected and Conserved Areas,ECCC,Vector,Vector,Canada,cpcad_fetch (guidance),Free/Open,Annual,"National parks, provincial parks, conservation areas"
Canada,CA,National Parks Boundaries,Parks Canada,Vector,Vector,Canada,parks_canada_fetch (guidance),Free/Open,Continuous,"47 national parks and reserves"
Europe,EU,European Environment Agency Protected Areas,EEA,Vector,Vector,Europe,eea_protected_fetch (guidance),Free/Open,Annual,"Comprehensive EU protected areas database"
France,FR,Espaces Naturels Proteges,INPN,Vector,Vector,France,inpn_protected_fetch (guidance),Free/Open,Continuous,"French protected natural areas, national and regional parks"
Germany,DE,Schutzgebiete,BfN,Vector,Vector,Germany,bfn_protected_fetch (guidance),Free/Open,Continuous,"German protected areas: national parks, nature reserves, landscape protection"
Italy,IT,Aree Protette (EUAP),Ministero Ambiente,Vector,Vector,Italy,euap_fetch,Free/Open,Continuous,"Italian protected areas: national and regional parks"
Spain,ES,Red de Espacios Naturales Protegidos,MITECO,Vector,Vector,Spain,miteco_protected_fetch (guidance),Free/Open,Continuous,"Spanish protected natural spaces"
UK,GB,Designated Sites,Natural England,Vector,Vector,UK (England),natural_england_fetch (guidance),Open,Continuous,"SSSIs, National Parks, AONBs"
UK,GB,Protected Areas,NatureScot,Vector,Vector,UK (Scotland),naturescot_fetch (guidance),Open,Continuous,"Scottish protected areas"
Norway,NO,Protected Areas,Miljodirektoratet,Vector,Vector,Norway,miljodirektoratet_fetch (guidance),Free/Open,Continuous,"Norwegian protected areas and national parks"
Russia,RU,Protected Areas Russia,WDPA,Vector,Vector,Russia (use WDPA),wdpa_fetch,Free/Open,Monthly,"Best available source for Russian protected areas"
Russia,RU,Zapovedniks and National Parks,Russian Ministry,Vector,Vector,Russia,russian_protected_fetch (guidance),Varies,Varies,"Official Russian protected areas (limited open data)"
China,CN,Protected Areas China,WDPA,Vector,Vector,China (use WDPA),wdpa_fetch,Free/Open,Monthly,"Best available source for Chinese protected areas"
China,CN,National Parks and Nature Reserves,MEE China,Vector,Vector,China,mee_protected_fetch (guidance),Restricted,Varies,"Official Chinese protected areas (limited access)"
Australia,AU,Collaborative Australian Protected Areas Database,DAWE,Vector,Vector,Australia,capad_fetch (guidance),Free/Open,Annual,"National parks, conservation reserves, indigenous protected areas"
Australia,AU,National Reserve System,DAWE,Vector,Vector,Australia,nrs_fetch (guidance),Free/Open,Annual,"Australian protected areas contributing to conservation"
Saudi Arabia,SA,Protected Areas Saudi Arabia,WDPA,Vector,Vector,Saudi Arabia (use WDPA),wdpa_fetch,Free/Open,Monthly,"Limited protected areas in KSA"
Saudi Arabia,SA,Saudi Wildlife Authority Areas,SWA,Vector,Vector,Saudi Arabia,swa_protected_fetch (guidance),Limited,Varies,"National parks and wildlife reserves (limited public data)"
UAE,AE,Protected Areas UAE,WDPA,Vector,Vector,UAE (use WDPA),wdpa_fetch,Free/Open,Monthly,"Marine and terrestrial protected areas"
Qatar,QA,Protected Areas Qatar,WDPA,Vector,Vector,Qatar (use WDPA),wdpa_fetch,Free/Open,Monthly,"Limited protected areas"
Kuwait,KW,Protected Areas Kuwait,WDPA,Vector,Vector,Kuwait (use WDPA),wdpa_fetch,Free/Open,Monthly,"Few protected areas"
Iraq,IQ,Protected Areas Iraq,WDPA,Vector,Vector,Iraq (use WDPA),wdpa_fetch,Free/Open,Monthly,"Limited protected area network"
Iran,IR,Protected Areas Iran,WDPA,Vector,Vector,Iran (use WDPA),wdpa_fetch,Free/Open,Monthly,"National parks and protected areas"
Brazil,BR,Brazilian Protected Areas,ICMBio/MMA,Vector,Vector,Brazil,icmbio_protected_fetch (guidance),Free/Open,Continuous,"Federal conservation units, national parks, biological reserves"
Brazil,BR,Indigenous Lands Brazil,FUNAI,Vector,Vector,Brazil,funai_indigenous_fetch (guidance),Free/Open,Continuous,"Indigenous territories with special protection"
Brazil,BR,Amazon Protected Areas,ISA,Vector,Vector,Brazilian Amazon,isa_amazon_protected_fetch (guidance),Free/Open,Continuous,"Amazon conservation focus"
Venezuela,VE,Protected Areas Venezuela,WDPA,Vector,Vector,Venezuela (use WDPA),wdpa_fetch,Free/Open,Monthly,"National parks and natural monuments"
Mexico,MX,Areas Naturales Protegidas,CONANP,Vector,Vector,Mexico,conanp_fetch (guidance),Free/Open,Continuous,"Mexican protected natural areas"
Mexico,MX,Ramsar Sites Mexico,Ramsar,Vector,Vector,Mexico,ramsar_fetch (guidance),Free/Open,Annual,"Wetlands of international importance"
Nigeria,NG,Protected Areas Nigeria,WDPA,Vector,Vector,Nigeria (use WDPA),wdpa_fetch,Free/Open,Monthly,"National parks and game reserves"
Algeria,DZ,Protected Areas Algeria,WDPA,Vector,Vector,Algeria (use WDPA),wdpa_fetch,Free/Open,Monthly,"National parks in Algeria"
Angola,AO,Protected Areas Angola,WDPA,Vector,Vector,Angola (use WDPA),wdpa_fetch,Free/Open,Monthly,"National parks and reserves"
Libya,LY,Protected Areas Libya,WDPA,Vector,Vector,Libya (use WDPA),wdpa_fetch,Free/Open,Monthly,"Limited protected area network"
Kazakhstan,KZ,Protected Areas Kazakhstan,WDPA,Vector,Vector,Kazakhstan (use WDPA),wdpa_fetch,Free/Open,Monthly,"Nature reserves and national parks"
Oman,OM,Protected Areas Oman,WDPA,Vector,Vector,Oman (use WDPA),wdpa_fetch,Free/Open,Monthly,"Nature reserves including marine areas"
Indonesia,ID,Protected Areas Indonesia,WDPA,Vector,Vector,Indonesia (use WDPA),wdpa_fetch,Free/Open,Monthly,"Extensive network of national parks and reserves"
Indonesia,ID,Indonesian Conservation Areas,KLHK,Vector,Vector,Indonesia,klhk_protected_fetch (guidance),Free/Open,Varies,"Ministry of Environment and Forestry protected areas"
Malaysia,MY,Protected Areas Malaysia,WDPA,Vector,Vector,Malaysia (use WDPA),wdpa_fetch,Free/Open,Monthly,"National parks, wildlife sanctuaries, forest reserves"
Azerbaijan,AZ,Protected Areas Azerbaijan,WDPA,Vector,Vector,Azerbaijan (use WDPA),wdpa_fetch,Free/Open,Monthly,"National parks and nature reserves"
Egypt,EG,Protected Areas Egypt,WDPA,Vector,Vector,Egypt (use WDPA),wdpa_fetch,Free/Open,Monthly,"Nature reserves and protectorates"



