Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
USA,US,Daymet v4,ORNL,1000,Raster,North America,daymet_fetch (guidance),Public Domain,Daily (1980-present),"Daily surface weather and climatological summaries"
USA,US,NOAA nClimGrid,NOAA,5000 (5km),Raster,USA (CONUS),nclimgrid_fetch (guidance),Public Domain,Monthly (1895-present),"Gridded temperature and precipitation"
USA,US,SNODAS Snow Data,NOAA,1000,Raster,USA,snodas_fetch (guidance),Public Domain,Daily (2003-present),"Snow Data Assimilation System, snow depth, SWE"
USA,US,SNOTEL Snow Stations,NRCS,Point,Vector (point),USA (western mountains),snotel_fetch (guidance),Public Domain,Daily (stations since 1970s),"Automated snow monitoring sites"
Canada,CA,ANUSPLIN Canada,NRCan/Environment Canada,10000 (10km),Raster,Canada,anusplin_fetch (guidance),Free/Open,Monthly (1950-2010),"Interpolated climate normals"
Canada,CA,Adjusted Station Data,Environment Canada,Point,Vector (point),Canada,ec_climate_stations_fetch (guidance),Free/Open,Daily/Monthly (historical),"Weather station time series"
Canada,CA,Canadian Snow Data,Environment Canada,Variable,Raster/Point,Canada,ec_snow_fetch (guidance),Free/Open,Daily,"Snow depth and water equivalent"
Europe,EU,E-OBS Gridded Dataset,ECA&D,10000-25000,Raster,Europe,eobs_fetch (guidance),Restricted for commercial,Daily (1950-present),"European daily high-resolution gridded dataset"
Europe,EU,EURO-CORDEX,CORDEX,12000 (0.11°),Raster,Europe,eurocordex_fetch (guidance),Free/Open,Various (RCM projections),"Regional climate model ensemble for Europe"
Europe,EU,Copernicus ERA5 Europe,C3S,31000/11000,Raster,Europe (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Use global ERA5/ERA5-Land"
France,FR,Safran Meteorological Analysis,Meteo-France,8000 (8km),Raster,France,safran_fetch (guidance),Restricted,Daily/Hourly (1958-present),"French meteorological reanalysis"
France,FR,Meteo-France Climatologies,Meteo-France,1000,Raster,France,meteofrance_clim_fetch (guidance),Free/Open,Monthly normals,"Official French climate normals"
Germany,DE,DWD Climate Data,DWD,1000,Raster,Germany,dwd_climate_fetch (guidance),Free/Open,Daily/Monthly,"German Weather Service gridded data"
Germany,DE,HYRAS Germany,DWD,1000-5000,Raster,Germany,hyras_fetch (guidance),Free/Open,Daily (1951-present),"High-resolution precipitation and temperature"
Italy,IT,ERA5 Italy,ECMWF,11000,Raster,Italy (use ERA5-Land),era5_land_fetch (guidance),Free/Open,Hourly,"Best available for Italy"
Spain,ES,AEMET Climate Data,AEMET,1000-5000,Raster,Spain,aemet_climate_fetch (guidance),Free registration,Daily/Monthly,"Spanish State Meteorological Agency"
Spain,ES,Spain02 v5,University of Cantabria,10000,Raster,Spain,spain02_fetch (guidance),Free/Open,Daily (1951-2015),"High-resolution gridded dataset for Iberian Peninsula"
UK,GB,UKCP18 Climate Projections,Met Office,1000-12000,Raster,UK,ukcp18_fetch (guidance),Open,Future projections + historical,"UK Climate Projections 2018"
UK,GB,HadUK-Grid,Met Office,1000,Raster,UK,haduk_fetch (guidance),Open,Daily/Monthly (1862-present),"Gridded climate observations for UK"
UK,GB,CEH-GEAR Precipitation,CEH,1000,Raster,UK,ceh_gear_fetch (guidance),Open,Daily (1890-present),"Gridded Estimates of Areal Rainfall"
Norway,NO,seNorge v2,Norwegian Met,1000,Raster,Norway,senorge_fetch (guidance),Free/Open,Daily (1957-present),"Temperature, precipitation, snow for Norway"
Norway,NO,MET Norway Climate Data,MET Norway,1000-10000,Raster,Norway,met_norway_fetch (guidance),Free/Open,Various,"Norwegian Meteorological Institute gridded data"
Russia,RU,ERA5 Russia,ECMWF,31000/11000,Raster,Russia (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best open climate data for Russia"
Russia,RU,CRU TS Russia,UEA,50000,Raster,Russia (use global CRU),cru_fetch (guidance),Open,Monthly,"Climate Research Unit time series"
China,CN,CMA Climate Data,CMA,Variable,Raster,China,cma_climate_fetch (guidance),Restricted for non-Chinese,Daily/Monthly,"China Meteorological Administration (limited open access)"
China,CN,ERA5 China,ECMWF,31000/11000,Raster,China (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best open alternative for China"
China,CN,CHIRPS China,UCSB,5000,Raster,China (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation for China"
Australia,AU,AWAP Australian Climate,BoM,5000,Raster,Australia,awap_fetch (guidance),Free/Open,Daily (1900-present),"Australian Water Availability Project, temperature, precipitation"
Australia,AU,SILO Climate Data,Queensland Govt,5000,Raster,Australia,silo_fetch (guidance),Free/Open,Daily (1889-present),"Interpolated point data to grids"
Australia,AU,BoM Climate Grids,BoM,5000,Raster,Australia,bom_climate_fetch (guidance),Free/Open,Monthly/Annual,"Bureau of Meteorology official grids"
Saudi Arabia,SA,ERA5 Saudi Arabia,ECMWF,31000/11000,Raster,Saudi Arabia (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available climate data for KSA"
Saudi Arabia,SA,CHIRPS Saudi Arabia,UCSB,5000,Raster,Saudi Arabia (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation (though minimal in desert)"
UAE,AE,ERA5 UAE,ECMWF,31000/11000,Raster,UAE (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for UAE"
Qatar,QA,ERA5 Qatar,ECMWF,31000/11000,Raster,Qatar (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Qatar"
Kuwait,KW,ERA5 Kuwait,ECMWF,31000/11000,Raster,Kuwait (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Kuwait"
Iraq,IQ,ERA5 Iraq,ECMWF,31000/11000,Raster,Iraq (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Iraq"
Iraq,IQ,CHIRPS Iraq,UCSB,5000,Raster,Iraq (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation data"
Iran,IR,ERA5 Iran,ECMWF,31000/11000,Raster,Iran (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Iran"
Iran,IR,CHIRPS Iran,UCSB,5000,Raster,Iran (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation data"
Brazil,BR,INMET Climate Data,INMET,Variable,Point/Grid,Brazil,inmet_climate_fetch (guidance),Free/Open,Daily (stations),"Brazilian National Meteorological Institute"
Brazil,BR,CPC Unified Brazil,NOAA,50000,Raster,Brazil (use global),cpc_unified_fetch (guidance),Public Domain,Daily,"CPC Unified Gauge-Based Analysis"
Brazil,BR,CHIRPS Brazil,UCSB,5000,Raster,Brazil (use global),chirps_fetch (guidance),Public Domain,Daily,"High-resolution precipitation"
Venezuela,VE,ERA5 Venezuela,ECMWF,31000/11000,Raster,Venezuela (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Venezuela"
Venezuela,VE,CHIRPS Venezuela,UCSB,5000,Raster,Venezuela (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation data"
Mexico,MX,CONAGUA Climate Data,CONAGUA,Variable,Point,Mexico,conagua_climate_fetch (guidance),Free/Open,Daily (stations),"National Water Commission meteorological data"
Mexico,MX,CHIRPS Mexico,UCSB,5000,Raster,Mexico (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation for Mexico"
Mexico,MX,Daymet Mexico,ORNL,1000,Raster,Mexico (North America),daymet_fetch (guidance),Public Domain,Daily,"Includes Mexico in North America coverage"
Nigeria,NG,ERA5 Nigeria,ECMWF,31000/11000,Raster,Nigeria (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Nigeria"
Nigeria,NG,CHIRPS Nigeria,UCSB,5000,Raster,Nigeria (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation, important for tropical climate"
Algeria,DZ,ERA5 Algeria,ECMWF,31000/11000,Raster,Algeria (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Algeria"
Algeria,DZ,CHIRPS Algeria,UCSB,5000,Raster,Algeria (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation data"
Angola,AO,ERA5 Angola,ECMWF,31000/11000,Raster,Angola (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Angola"
Angola,AO,CHIRPS Angola,UCSB,5000,Raster,Angola (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation data"
Libya,LY,ERA5 Libya,ECMWF,31000/11000,Raster,Libya (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Libya"
Kazakhstan,KZ,ERA5 Kazakhstan,ECMWF,31000/11000,Raster,Kazakhstan (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Kazakhstan"
Oman,OM,ERA5 Oman,ECMWF,31000/11000,Raster,Oman (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Oman"
Indonesia,ID,CHIRPS Indonesia,UCSB,5000,Raster,Indonesia (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation, critical for tropical climate"
Indonesia,ID,ERA5 Indonesia,ECMWF,31000/11000,Raster,Indonesia (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Temperature and other variables"
Malaysia,MY,CHIRPS Malaysia,UCSB,5000,Raster,Malaysia (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation data"
Malaysia,MY,ERA5 Malaysia,ECMWF,31000/11000,Raster,Malaysia (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Climate variables"
Azerbaijan,AZ,ERA5 Azerbaijan,ECMWF,31000/11000,Raster,Azerbaijan (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Azerbaijan"
Egypt,EG,ERA5 Egypt,ECMWF,31000/11000,Raster,Egypt (use ERA5),era5_fetch (guidance),Free/Open,Hourly,"Best available for Egypt"
Egypt,EG,CHIRPS Egypt,UCSB,5000,Raster,Egypt (use global),chirps_fetch (guidance),Public Domain,Daily,"Precipitation (though minimal)"



