Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
Canada,CA,Canadian Wetland Inventory,Ducks Unlimited Canada,Vector,Vector,Canada (ongoing),cwi_fetch (guidance),Free/Open,Ongoing,"Provincial wetland mapping, incomplete coverage"
Canada,CA,CanVec Hydro Features,NRCan,Vector,Vector,Canada,canvec_hydro_fetch (guidance),Free/Open,Annual,"Topographic hydrography"
Europe,EU,EU-Hydro River Network,Copernicus,Vector (1:25k-1:100k),Vector,EU27 + neighbors,euhydro_fetch (guidance),Free/Open,Static (2006-2012),"Pan-European river network"
Europe,EU,Copernicus Water and Wetness,Copernicus,10,Raster,Europe,copernicus_water_fetch (guidance),Free/Open,Continuous,"Water and Wetness layers from Sentinel-2"
Europe,EU,European Catchments and Rivers (ECRINS),EEA,Vector,Vector,Europe,ecrins_fetch (guidance),Free/Open,Static,"River basin districts, catchments"
Europe,EU,Corine Water Bodies,Copernicus,100,Raster/Vector,EU27,corine_fetch,Free/Open,Every 6 years,"Water bodies from Corine Land Cover"
France,FR,BD TOPO Hydrographie,IGN France,Vector (1:15k),Vector,France,bdtopo_hydro_fetch (guidance),Open,Continuous,"High-detail French hydrography"
France,FR,BD Carthage,French Water Agencies,Vector,Vector,France,bdcarthage_fetch (guidance),Open,Continuous,"French hydrographic reference"
Germany,DE,ATKIS Gewaesser,BKG,Vector,Vector,Germany,atkis_water_fetch (guidance),Free/Open,Continuous,"German official water features"
Germany,DE,DLM-DE Gewaesser,BKG,Vector (1:250k),Vector,Germany,dlm_water_fetch (guidance),Free/Open,Continuous,"Digital Landscape Model water"
Italy,IT,Italian Rivers Database,ISPRA,Vector,Vector,Italy,euhydro_fetch (use EU-Hydro instead),Free/Open,Continuous,"National river network - use EU-Hydro WFS"
Italy,IT,Copernicus EU-Hydro Italy,Copernicus,Vector,Vector,Italy (use EU-Hydro),euhydro_fetch,Free/Open,Static,"Part of EU-Hydro dataset"
Spain,ES,Cartografia Hidrologica,IGN Spain,Vector (1:25k),Vector,Spain,ign_hidro_fetch (guidance),Free/Open,Continuous,"Spanish hydrographic cartography"
UK,GB,Ordnance Survey WaterNetwork,Ordnance Survey,Vector,Vector,UK,os_water_fetch (guidance),Commercial/Open,Continuous,"Detailed UK water features"
UK,GB,CEH Water Bodies,CEH,Vector,Vector,UK,ceh_water_fetch (guidance),Open,Static,"UK water body polygons"
Norway,NO,N50 Hydrography,Kartverket,Vector (1:50k),Vector,Norway,n50_hydro_fetch (guidance),Free/Open,Continuous,"Norwegian topographic hydrography"
Norway,NO,NVE Hydrological Data,NVE,Vector,Vector,Norway,nve_hydro_fetch (guidance),Free/Open,Continuous,"Norwegian Water Resources and Energy"
Russia,RU,HydroRIVERS Russia,HydroSHEDS,Vector,Vector,Russia (use global),hydrorivers_fetch (guidance),Free/Open,Static,"Best available for Russia"
Russia,RU,OpenStreetMap Waterways Russia,OSM,Vector,Vector,Russia,osm_waterways_fetch,ODbL,Continuous,"Community-mapped waterways"
China,CN,National Catalogue Service Rivers,NFGIS China,Vector,Vector,China,nfgis_rivers_fetch (guidance),Restricted,Varies,"National hydrographic data (access restricted)"
China,CN,OpenStreetMap Waterways China,OSM,Vector,Vector,China,osm_waterways_fetch,ODbL,Continuous,"Best open alternative for China"
Australia,AU,Geofabric Surface Network,BoM Australia,Vector,Vector,Australia,geofabric_fetch (guidance),Free/Open,Annual,"Australian Hydrological Geospatial Fabric"
Australia,AU,National Wetlands Inventory,Geoscience Australia,Vector,Vector,Australia (partial),nwi_australia_fetch (guidance),Free/Open,Ongoing,"Incomplete national coverage"
Saudi Arabia,SA,OpenStreetMap Waterways,OSM,Vector,Vector,Saudi Arabia,osm_waterways_fetch,ODbL,Continuous,"Best available for KSA, limited coverage"
Saudi Arabia,SA,Global Surface Water,JRC,30,Raster,Saudi Arabia (use global),global_surface_water_fetch,Free/Open,Static,"Satellite-derived water occurrence"
UAE,AE,OpenStreetMap Waterways,OSM,Vector,Vector,UAE,osm_waterways_fetch,ODbL,Continuous,"Limited natural waterways"
Qatar,QA,OpenStreetMap Waterways,OSM,Vector,Vector,Qatar,osm_waterways_fetch,ODbL,Continuous,"Very limited natural waterways"
Kuwait,KW,OpenStreetMap Waterways,OSM,Vector,Vector,Kuwait,osm_waterways_fetch,ODbL,Continuous,"Limited natural waterways"
Iraq,IQ,OpenStreetMap Waterways,OSM,Vector,Vector,Iraq,osm_waterways_fetch,ODbL,Continuous,"Tigris-Euphrates system well-mapped"
Iran,IR,OpenStreetMap Waterways,OSM,Vector,Vector,Iran,osm_waterways_fetch,ODbL,Continuous,"Major rivers mapped"
Brazil,BR,ANA Hydrographic Network,ANA Brazil,Vector (1:50k),Vector,Brazil,ana_hydro_fetch (guidance),Free/Open,Continuous,"National Water Agency hydrography"
Brazil,BR,IBGE Water Features,IBGE,Vector (1:250k),Vector,Brazil,ibge_hydro_fetch (guidance),Free/Open,Continuous,"Brazilian statistical institute"
Venezuela,VE,OpenStreetMap Waterways,OSM,Vector,Vector,Venezuela,osm_waterways_fetch,ODbL,Continuous,"Orinoco basin mapped"
Mexico,MX,INEGI Hydrography,INEGI,Vector (1:50k),Vector,Mexico,inegi_hydro_fetch (guidance),Free/Open,Continuous,"National hydrographic network"
Nigeria,NG,OpenStreetMap Waterways,OSM,Vector,Vector,Nigeria,osm_waterways_fetch,ODbL,Continuous,"Niger River system"
Algeria,DZ,OpenStreetMap Waterways,OSM,Vector,Vector,Algeria,osm_waterways_fetch,ODbL,Continuous,"Limited surface water"
Angola,AO,OpenStreetMap Waterways,OSM,Vector,Vector,Angola,osm_waterways_fetch,ODbL,Continuous,"Major rivers mapped"
Libya,LY,OpenStreetMap Waterways,OSM,Vector,Vector,Libya,osm_waterways_fetch,ODbL,Continuous,"Very limited surface water"
Kazakhstan,KZ,OpenStreetMap Waterways,OSM,Vector,Vector,Kazakhstan,osm_waterways_fetch,ODbL,Continuous,"Major rivers and lakes"
Oman,OM,OpenStreetMap Waterways,OSM,Vector,Vector,Oman,osm_waterways_fetch,ODbL,Continuous,"Wadis (ephemeral streams)"
Indonesia,ID,OpenStreetMap Waterways,OSM,Vector,Vector,Indonesia,osm_waterways_fetch,ODbL,Continuous,"Well-mapped river systems"
Malaysia,MY,OpenStreetMap Waterways,OSM,Vector,Vector,Malaysia,osm_waterways_fetch,ODbL,Continuous,"Extensive river network"
Azerbaijan,AZ,OpenStreetMap Waterways,OSM,Vector,Vector,Azerbaijan,osm_waterways_fetch,ODbL,Continuous,"Caspian basin rivers"
Egypt,EG,OpenStreetMap Waterways,OSM,Vector,Vector,Egypt,osm_waterways_fetch,ODbL,Continuous,"Nile River system"



