Country,Country_Code,Dataset_Name,Provider,Resolution_m,Data_Type,Coverage,Fetch_Tool,License,Update_Frequency,Notes
Spain,ES,Catastro ATOM Feed,Catastro,Vector,Vector,Spain,catastro_atom_fetch (guidance),Free/Open,Monthly,"Bulk download of cadastral data"
UK,GB,Land Registry INSPIRE Polygons,HM Land Registry,Vector,Vector,UK (England/Wales),land_registry_fetch (guidance),Free/Open,Monthly,"Freehold property boundaries"
UK,GB,OS MasterMap Topography,Ordnance Survey,Vector,Vector,UK,os_mastermap_fetch (guidance),Commercial,Continuous,"Detailed topographic parcels including cadastre-like boundaries"
UK,GB,Scottish Assessors Portal,Scottish Assessors,Vector,Vector,UK (Scotland),scottish_assessors_fetch (guidance),Limited,Annual,"Council tax and non-domestic rates"
UK,GB,Land & Property Services NI,LPS NI,Vector,Vector,UK (Northern Ireland),lps_ni_fetch (guidance),Commercial/Gov,Continuous,"Northern Ireland land registry"
Netherlands,NL,Kadaster BAG (Basisregistratie Adressen),Kadaster,Vector,Vector,Netherlands,bag_fetch (guidance),Free/Open,Continuous,"Basic registration of addresses and buildings"
Netherlands,NL,Kadaster BRK (Basisregistratie Kadaster),Kadaster,Vector,Vector,Netherlands,brk_fetch (guidance),Commercial,Continuous,"Cadastral registration with ownership"
Netherlands,NL,Kadaster Open Data,Kadaster,Vector,Vector,Netherlands,kadaster_opendata_fetch (guidance),Free/Open,Monthly,"Simplified cadastral boundaries, open license"
Belgium,BE,Cadmap (Cadastral Map),SPF Finances,Vector,Vector,Belgium,cadmap_fetch (guidance),Free/Open,Annual,"Belgian cadastral parcels"
Belgium,BE,INSPIRE Cadastral Parcels BE,SPF Finances,Vector,Vector,Belgium,inspire_be_cadastre_fetch (guidance),Free/Open,Annual,"INSPIRE-compliant Belgian cadastre"
Austria,AT,Digitale Katastralmappe,BEV,Vector,Vector,Austria,dkm_austria_fetch (guidance),Commercial,Continuous,"Digital cadastral map"
Switzerland,CH,Amtliche Vermessung (AV),Swisstopo,Vector,Vector,Switzerland,av_swiss_fetch (guidance),Free/Open,Continuous,"Official cadastral survey, canton-based"
Switzerland,CH,Swiss Land Registry Parcels,Swisstopo,Vector,Vector,Switzerland,swiss_parcels_fetch (guidance),Free/Open,Continuous,"Federal geodata with parcel boundaries"
Norway,NO,Matrikkelen (Cadastre),Kartverket,Vector,Vector,Norway,matrikkelen_fetch (guidance),Free/Open,Continuous,"Official Norwegian cadastre and land registry"
Norway,NO,Eiendomsgrenser (Property Boundaries),Kartverket,Vector,Vector,Norway,eiendomsgrenser_fetch (guidance),Free/Open,Continuous,"Property boundary dataset"
Sweden,SE,Fastighetskartan,Lantmäteriet,Vector,Vector,Sweden,fastighetskartan_fetch (guidance),Commercial,Continuous,"Property map with cadastral units"
Sweden,SE,Lantmäteriet Open Data Parcels,Lantmäteriet,Vector,Vector,Sweden,lantmateriet_opendata_fetch (guidance),Free/Open,Varies,"Limited open cadastral data"
Denmark,DK,Matrikelkort,Geodatastyrelsen,Vector,Vector,Denmark,matrikelkort_fetch (guidance),Free/Open,Continuous,"Danish cadastral map"
Denmark,DK,Ejendomsregister (Property Register),Geodatastyrelsen,Vector + attributes,Vector,Denmark,ejendomsregister_fetch (guidance),Free/Open,Continuous,"Property register with ownership"
Poland,PL,Ewidencja Gruntów i Budynków,GUGiK,Vector,Vector,Poland,egib_fetch (guidance),Restricted,Continuous,"Land and building registry (access restricted)"
Poland,PL,INSPIRE Cadastral Parcels PL,GUGiK,Vector,Vector,Poland,inspire_pl_cadastre_fetch (guidance),Free/Open,Annual,"INSPIRE-compliant Polish cadastre"
Czech Republic,CZ,Katastrální Mapa,ČÚZK,Vector,Vector,Czech Republic,katastr_cz_fetch (guidance),Free/Open,Continuous,"Czech cadastral map, open WMS/WFS"
Portugal,PT,Cadastro Predial,IRN Portugal,Vector,Vector,Portugal,cadastro_pt_fetch (guidance),Restricted,Continuous,"Property registry (limited public access)"
Greece,GR,Ktimatologio (Hellenic Cadastre),HCMR,Vector,Vector,Greece,ktimatologio_fetch (guidance),Restricted,Ongoing,"National cadastre project (incomplete coverage)"
Ireland,IE,Property Registration Authority,PRA Ireland,Vector,Vector,Ireland,pra_ie_fetch (guidance),Commercial/Gov,Continuous,"Land registry and registry of deeds"
Russia,RU,Rosreestr Cadastre,Rosreestr,Vector,Vector,Russia,rosreestr_cadastre_fetch (guidance),Restricted,Continuous,"Federal cadastre (limited open access, paid extracts)"
Russia,RU,Public Cadastral Map,Rosreestr,Vector (WMS),Vector,Russia,rosreestr_map_fetch (guidance),Free viewing,Continuous,"Web viewer for cadastral parcels, no bulk download"
China,CN,Cadastral Data China,Ministry of Natural Resources,Vector,Vector,China,china_cadastre_fetch (guidance),Restricted,Continuous,"National land registry (not publicly accessible)"
Australia,AU,ePlan NSW,NSW Land Registry,Vector,Vector,New South Wales,eplan_nsw_fetch (guidance),Commercial/Gov,Continuous,"Digital cadastral plans for NSW"
Australia,AU,Digital Cadastral Database VIC,Land Use Victoria,Vector,Vector,Victoria,dcdb_vic_fetch (guidance),Commercial,Continuous,"Victorian cadastral database"
Australia,AU,Digital Cadastral Database QLD,Dept Natural Resources,Vector,Vector,Queensland,dcdb_qld_fetch (guidance),Free/Open,Continuous,"Queensland cadastre, open data"
Australia,AU,Cadastre WA,Landgate,Vector,Vector,Western Australia,cadastre_wa_fetch (guidance),Commercial,Continuous,"Western Australian cadastre"
Australia,AU,PSMA Cadastre,PSMA Australia,Vector,Vector,Australia,psma_cadastre_fetch (guidance),Commercial,Annual,"National compiled cadastre (commercial)"
New Zealand,NZ,LINZ Cadastral Parcels,LINZ,Vector,Vector,New Zealand,linz_parcels_fetch (guidance),Free/Open,Continuous,"Land Information New Zealand cadastral survey"
New Zealand,NZ,Land Parcels,LINZ,Vector,Vector,New Zealand,linz_landparcels_fetch (guidance),Free/Open,Continuous,"Primary parcels with legal descriptions"
Saudi Arabia,SA,Saudi Cadastre,Ministry of Justice,Vector,Vector,Saudi Arabia,saudi_cadastre_fetch (guidance),Restricted,Continuous,"National cadastre (not publicly accessible)"
UAE,AE,Dubai Land Department Cadastre,Dubai Land Dept,Vector,Vector,Dubai,dubai_cadastre_fetch (guidance),Gov only,Continuous,"Dubai property registration (restricted)"
UAE,AE,Abu Dhabi Cadastre,Abu Dhabi Municipality,Vector,Vector,Abu Dhabi,abudhabi_cadastre_fetch (guidance),Gov only,Continuous,"Abu Dhabi cadastral system (restricted)"
Qatar,QA,Qatari Cadastre,Ministry of Justice,Vector,Vector,Qatar,qatar_cadastre_fetch (guidance),Restricted,Continuous,"National land registry (restricted access)"
Kuwait,KW,Kuwait Cadastre,PACI,Vector,Vector,Kuwait,kuwait_cadastre_fetch (guidance),Restricted,Continuous,"Public Authority for Civil Information (restricted)"
Iraq,IQ,Iraqi Land Registry,Various Ministries,Vector,Vector,Iraq,iraq_cadastre_fetch (guidance),Restricted,Varies,"Limited cadastral system (conflict-affected)"
Iran,IR,Iranian Cadastre,National Land Organization,Vector,Vector,Iran,iran_cadastre_fetch (guidance),Restricted,Continuous,"National cadastral system (limited public access)"
Brazil,BR,Cadastro Nacional de Imóveis Rurais,INCRA,Vector,Vector,Brazil (rural),cnir_fetch (guidance),Restricted,Continuous,"Rural property cadastre (restricted)"
Brazil,BR,Cadastro Imobiliário Municipal,Municipal governments,Vector,Vector,Brazil (urban, by municipality),cadastro_municipal_fetch (guidance),Varies,Varies,"Municipal property registries, not unified"
Brazil,BR,SIGEF (Sistema de Gestão Fundiária),INCRA,Vector,Vector,Brazil,sigef_fetch (guidance),Free/Open,Continuous,"Rural land management system, georreferenced parcels"
Venezuela,VE,Catastro Venezuela,IGVSB,Vector,Vector,Venezuela,venezuela_cadastre_fetch (guidance),Restricted,Varies,"National cadastre (limited access)"
Mexico,MX,Registro Agrario Nacional,RAN,Vector,Vector,Mexico (rural),ran_mexico_fetch (guidance),Free/Open,Continuous,"Agrarian land registry (ejidos and communal lands)"
Mexico,MX,Registro Público de la Propiedad,State governments,Vector,Vector,Mexico (by state),rpp_mexico_fetch (guidance),Varies by state,Varies,"State-level property registries, not unified"
Mexico,MX,INEGI Marco Geoestadístico (parcels),INEGI,Vector,Vector,Mexico,inegi_parcels_fetch (guidance),Free/Open,Varies,"Statistical parcels, not legal cadastre"
Nigeria,NG,Nigerian Cadastre,State Cadastral Offices,Vector,Vector,Nigeria (by state),nigeria_cadastre_fetch (guidance),Restricted,Varies,"State-level cadastral systems (limited access)"
Algeria,DZ,Algerian Cadastre,Direction Générale des Impôts,Vector,Vector,Algeria,algeria_cadastre_fetch (guidance),Restricted,Continuous,"National cadastre (restricted access)"
Angola,AO,Angolan Land Registry,Ministry of Justice,Vector,Vector,Angola,angola_cadastre_fetch (guidance),Restricted,Developing,"Cadastral system under development (limited access)"
Libya,LY,Libyan Cadastre,Survey Dept,Vector,Vector,Libya,libya_cadastre_fetch (guidance),Restricted,Varies,"Cadastral system (conflict-affected, limited data)"
Kazakhstan,KZ,Kazakhstan Cadastre,Committee on Land Management,Vector,Vector,Kazakhstan,kazakhstan_cadastre_fetch (guidance),Restricted,Continuous,"National cadastre (limited public access)"
Oman,OM,Omani Cadastre,Ministry of Housing,Vector,Vector,Oman,oman_cadastre_fetch (guidance),Restricted,Continuous,"National land registry (restricted access)"
Indonesia,ID,Indonesian Land Cadastre,BPN (Agrarian Affairs),Vector,Vector,Indonesia,bpn_cadastre_fetch (guidance),Restricted,Continuous,"National Land Agency cadastre (limited access)"
Indonesia,ID,One Map Policy Parcels,BIG/BPN,Vector,Vector,Indonesia,onemap_cadastre_fetch (guidance),Gov/Research,Developing,"Unified geospatial portal, developing cadastre layer"
Malaysia,MY,Malaysian Cadastre,JUPEM,Vector,Vector,Malaysia,jupem_cadastre_fetch (guidance),Restricted,Continuous,"Dept of Survey and Mapping cadastre (restricted)"
Azerbaijan,AZ,Azerbaijan Cadastre,State Committee for Property,Vector,Vector,Azerbaijan,azerbaijan_cadastre_fetch (guidance),Restricted,Continuous,"National cadastre (limited public access)"
Egypt,EG,Egyptian Cadastre,Survey Authority,Vector,Vector,Egypt,egypt_cadastre_fetch (guidance),Restricted,Continuous,"National cadastre (restricted access)"



