ISO3,Country,Sentinel2,WorldCover,CopernicusDEM,GSW,OSM,WDPA,WorldPop,FEMA_NFHL,NHD,NPMS,Lidar1m
EST,Estonia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ETH,Ethiopia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
FIN,Finland,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
FJI,Fiji,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
FLK,Falkland Islands (Malvinas),Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
FRA,France,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
FRO,Faroe Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
FSM,"Micronesia, Federated States of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GAB,Gabon,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GBR,United Kingdom of Great Britain and Northern Ireland,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GEO,Georgia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GGY,Guernsey,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GHA,Ghana,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GIB,Gibraltar,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GIN,Guinea,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GLP,Guadeloupe,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GMB,Gambia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GNB,Guinea-Bissau,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GNQ,Equatorial Guinea,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GRC,Greece,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GRD,Grenada,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GRL,Greenland,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GTM,Guatemala,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GUF,French Guiana,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GUM,Guam,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
GUY,Guyana,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
HKG,Hong Kong,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
HMD,Heard Island and McDonald Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
HND,Honduras,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
HRV,Croatia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
HTI,Haiti,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
HUN,Hungary,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
IDN,Indonesia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
IMN,Isle of Man,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
IND,India,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
IOT,British Indian Ocean Territory,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
IRL,Ireland,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
IRN,"Iran, Islamic Republic of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
IRQ,Iraq,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ISL,Iceland,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ISR,Israel,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ITA,Italy,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
JAM,Jamaica,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
JEY,Jersey,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
JOR,Jordan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
JPN,Japan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KAZ,Kazakhstan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KEN,Kenya,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KGZ,Kyrgyzstan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KHM,Cambodia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KIR,Kiribati,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KNA,Saint Kitts and Nevis,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KOR,"Korea, Republic of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
KWT,Kuwait,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LAO,Lao People's Democratic Republic,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LBN,Lebanon,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LBR,Liberia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LBY,Libya,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LCA,Saint Lucia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LIE,Liechtenstein,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LKA,Sri Lanka,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LSO,Lesotho,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LTU,Lithuania,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LUX,Luxembourg,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
LVA,Latvia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MAC,Macao,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MAF,Saint Martin (French part),Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MAR,Morocco,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MCO,Monaco,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MDA,"Moldova, Republic of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MDG,Madagascar,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MDV,Maldives,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MEX,Mexico,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MHL,Marshall Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MKD,North Macedonia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MLI,Mali,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MLT,Malta,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MMR,Myanmar,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MNE,Montenegro,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MNG,Mongolia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MNP,Northern Mariana Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MOZ,Mozambique,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MRT,Mauritania,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MSR,Montserrat,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MTQ,Martinique,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MUS,Mauritius,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MWI,Malawi,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MYS,Malaysia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
MYT,Mayotte,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NAM,Namibia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NCL,New Caledonia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NER,Niger,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NFK,Norfolk Island,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NGA,Nigeria,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NIC,Nicaragua,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NIU,Niue,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NLD,"Netherlands, Kingdom of the",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NOR,Norway,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NPL,Nepal,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NRU,Nauru,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
NZL,New Zealand,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
OMN,Oman,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PAK,Pakistan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PAN,Panama,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PCN,Pitcairn,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PER,Peru,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PHL,Philippines,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PLW,Palau,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PNG,Papua New Guinea,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
POL,Poland,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PRI,Puerto Rico,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PRK,"Korea, Democratic People's Republic of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PRT,Portugal,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PRY,Paraguay,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PSE,"Palestine, State of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
PYF,French Polynesia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
QAT,Qatar,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
REU,Réunion,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ROU,Romania,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
RUS,Russian Federation,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
RWA,Rwanda,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SAU,Saudi Arabia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SDN,Sudan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SEN,Senegal,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SGP,Singapore,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SGS,South Georgia and the South Sandwich Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SHN,"Saint Helena, Ascension and Tristan da Cunha",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SJM,Svalbard and Jan Mayen,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SLB,Solomon Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SLE,Sierra Leone,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SLV,El Salvador,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SMR,San Marino,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SOM,Somalia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SPM,Saint Pierre and Miquelon,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SRB,Serbia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SSD,South Sudan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
STP,Sao Tome and Principe,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SUR,Suriname,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SVK,Slovakia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SVN,Slovenia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SWE,Sweden,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SWZ,Eswatini,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SXM,Sint Maarten (Dutch part),Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SYC,Seychelles,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
SYR,Syrian Arab Republic,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TCA,Turks and Caicos Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TCD,Chad,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TGO,Togo,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
THA,Thailand,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TJK,Tajikistan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TKL,Tokelau,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TKM,Turkmenistan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TLS,Timor-Leste,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TON,Tonga,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TTO,Trinidad and Tobago,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TUN,Tunisia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TUR,Türkiye,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TUV,Tuvalu,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TWN,"Taiwan, Province of China",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
TZA,"Tanzania, United Republic of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
UGA,Uganda,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
UKR,Ukraine,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
UMI,United States Minor Outlying Islands,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
URY,Uruguay,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
USA,United States of America,Available,Available,Available,Available,Available,Available,Available,Available,Available,Restricted,Varies
UZB,Uzbekistan,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
VAT,Holy See,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
VCT,Saint Vincent and the Grenadines,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
VEN,"Venezuela, Bolivarian Republic of",Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
VGB,Virgin Islands (British),Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
VIR,Virgin Islands (U.S.),Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
VNM,Viet Nam,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
VUT,Vanuatu,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
WLD,World/Global,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
WLF,Wallis and Futuna,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
WSM,Samoa,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
YEM,Yemen,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ZAF,South Africa,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ZMB,Zambia,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
ZWE,Zimbabwe,Available,Available,Available,Available,Available,Available,Available,N/A,N/A,N/A,Varies
