ISO3,Country,Dataset,Source,Type,Access,TemporalStart,TemporalEnd,Frequency,Coverage
AND,Andorra,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
AND,Andorra,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
AND,Andorra,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
AND,Andorra,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
AND,Andorra,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
AND,Andorra,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
AND,Andorra,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
AND,Andorra,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
AGO,Angola,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
AGO,Angola,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
AGO,Angola,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
AGO,Angola,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
AGO,Angola,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
AGO,Angola,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
AGO,Angola,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
AGO,Angola,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
AGO,Angola,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
AGO,Angola,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
AGO,Angola,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
AIA,Anguilla,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
AIA,Anguilla,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
AIA,Anguilla,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
AIA,Anguilla,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
AIA,Anguilla,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
AIA,Anguilla,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
AIA,Anguilla,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
AIA,Anguilla,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
AIA,Anguilla,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
AIA,Anguilla,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
AIA,Anguilla,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ATA,Antarctica,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ATA,Antarctica,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ATA,Antarctica,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ATA,Antarctica,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ATA,Antarctica,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ATA,Antarctica,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ATA,Antarctica,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ATA,Antarctica,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ATA,Antarctica,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ATA,Antarctica,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ATA,Antarctica,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ATG,Antigua and Barbuda,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ATG,Antigua and Barbuda,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ATG,Antigua and Barbuda,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ATG,Antigua and Barbuda,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ATG,Antigua and Barbuda,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ATG,Antigua and Barbuda,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ATG,Antigua and Barbuda,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ATG,Antigua and Barbuda,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ATG,Antigua and Barbuda,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ATG,Antigua and Barbuda,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ATG,Antigua and Barbuda,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ARG,Argentina,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ARG,Argentina,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ARG,Argentina,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ARG,Argentina,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ARG,Argentina,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ARG,Argentina,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ARG,Argentina,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ARG,Argentina,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ARG,Argentina,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ARG,Argentina,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ARG,Argentina,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ARM,Armenia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ARM,Armenia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ARM,Armenia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ARM,Armenia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ARM,Armenia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ARM,Armenia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ARM,Armenia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ARM,Armenia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ARM,Armenia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ARM,Armenia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ARM,Armenia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ABW,Aruba,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ABW,Aruba,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ABW,Aruba,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ABW,Aruba,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ABW,Aruba,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ABW,Aruba,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ABW,Aruba,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ABW,Aruba,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ABW,Aruba,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ABW,Aruba,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ABW,Aruba,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
AUS,Australia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
AUS,Australia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
AUS,Australia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
AUS,Australia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
AUS,Australia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
AUS,Australia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
AUS,Australia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
AUS,Australia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
AUS,Australia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
AUS,Australia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
AUS,Australia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
AUT,Austria,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
AUT,Austria,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
AUT,Austria,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
AUT,Austria,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
AUT,Austria,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
AUT,Austria,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
AUT,Austria,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
AUT,Austria,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
AUT,Austria,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
AUT,Austria,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
AUT,Austria,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
AZE,Azerbaijan,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
AZE,Azerbaijan,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
AZE,Azerbaijan,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
AZE,Azerbaijan,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
AZE,Azerbaijan,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
AZE,Azerbaijan,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
AZE,Azerbaijan,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
AZE,Azerbaijan,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
AZE,Azerbaijan,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
AZE,Azerbaijan,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
AZE,Azerbaijan,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
BHS,Bahamas,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
BHS,Bahamas,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
BHS,Bahamas,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
BHS,Bahamas,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
BHS,Bahamas,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
BHS,Bahamas,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
BHS,Bahamas,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
BHS,Bahamas,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
BHS,Bahamas,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
BHS,Bahamas,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
BHS,Bahamas,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
BHR,Bahrain,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
BHR,Bahrain,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
BHR,Bahrain,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
BHR,Bahrain,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
BHR,Bahrain,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
BHR,Bahrain,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
BHR,Bahrain,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
BHR,Bahrain,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
BHR,Bahrain,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
BHR,Bahrain,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
BHR,Bahrain,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
BGD,Bangladesh,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
BGD,Bangladesh,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
BGD,Bangladesh,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
BGD,Bangladesh,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
BGD,Bangladesh,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
BGD,Bangladesh,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
BGD,Bangladesh,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
BGD,Bangladesh,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
BGD,Bangladesh,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
BGD,Bangladesh,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
BGD,Bangladesh,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
BRB,Barbados,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
BRB,Barbados,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
BRB,Barbados,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
BRB,Barbados,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
BRB,Barbados,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
BRB,Barbados,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
BRB,Barbados,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
BRB,Barbados,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
BRB,Barbados,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
BRB,Barbados,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
BRB,Barbados,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
BLR,Belarus,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
BLR,Belarus,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
BLR,Belarus,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
BLR,Belarus,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
BLR,Belarus,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
BLR,Belarus,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
BLR,Belarus,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
BLR,Belarus,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
BLR,Belarus,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
