lon,lat,soc
-80.97999999999992,38.36000000000002,1394
-80.9499999999999,38.36000000000002,1450
-80.9399999999999,38.36000000000002,1439
-80.87999999999987,38.36000000000002,1966
-81.11999999999999,38.35000000000002,1691
-81.14,38.340000000000025,1224
-81.10999999999999,38.340000000000025,1802
-81.03999999999995,38.340000000000025,1206
-80.96999999999991,38.340000000000025,1422
-81.14,38.32000000000003,1433
-81.10999999999999,38.32000000000003,2020
-80.95999999999991,38.32000000000003,1327
-80.9499999999999,38.32000000000003,1505
-80.9399999999999,38.32000000000003,1390
-80.91999999999989,38.32000000000003,1929
-80.89999999999988,38.32000000000003,1904
-80.88999999999987,38.32000000000003,2091
-80.87999999999987,38.32000000000003,1784
-80.86999999999986,38.32000000000003,1910
-81.13,38.31000000000003,1412
-81.10999999999999,38.31000000000003,1769
-81.09999999999998,38.31000000000003,1727
-81.08999999999997,38.31000000000003,1352
-81.07999999999997,38.31000000000003,1516
-81.05999999999996,38.31000000000003,1089
-81.04999999999995,38.31000000000003,1211
-81.03999999999995,38.31000000000003,1380
-81.02999999999994,38.31000000000003,1264
-81.01999999999994,38.31000000000003,1208
-80.96999999999991,38.31000000000003,1365
-80.9399999999999,38.31000000000003,1312
-80.9299999999999,38.31000000000003,1345
-80.91999999999989,38.31000000000003,1829
-81.08999999999997,38.30000000000003,1315
-80.90999999999988,38.30000000000003,1542
-80.89999999999988,38.30000000000003,1562
-81.04999999999995,38.290000000000035,1311
-81.15,38.27000000000004,1186
-81.00999999999993,38.27000000000004,1235
-80.99999999999993,38.27000000000004,1156
-80.97999999999992,38.27000000000004,1544
-80.96999999999991,38.27000000000004,1881
-80.9499999999999,38.27000000000004,1895
-80.9399999999999,38.27000000000004,1957
-80.91999999999989,38.27000000000004,1515
-80.90999999999988,38.27000000000004,1583
-80.89999999999988,38.27000000000004,1553
-80.87999999999987,38.27000000000004,1678
-80.86999999999986,38.27000000000004,2175
-80.85999999999986,38.27000000000004,1590
-81.15,38.26000000000004,1141
-81.14,38.26000000000004,1543
-81.10999999999999,38.26000000000004,1257
-81.09999999999998,38.26000000000004,1394
-81.05999999999996,38.26000000000004,1467
-81.03999999999995,38.26000000000004,1432
-81.02999999999994,38.26000000000004,1764
-81.01999999999994,38.26000000000004,1154
-81.00999999999993,38.26000000000004,1298
-80.99999999999993,38.26000000000004,1366
-80.9499999999999,38.26000000000004,2164
-81.06999999999996,38.25000000000004,1899
-81.04999999999995,38.25000000000004,1463
-80.9499999999999,38.240000000000045,-9999
-80.89999999999988,38.240000000000045,1828
-80.88999999999987,38.240000000000045,2086
-80.86999999999986,38.240000000000045,1828
-81.15,38.23000000000005,1108
-80.9299999999999,38.23000000000005,1099
-80.88999999999987,38.23000000000005,-9999
-80.86999999999986,38.23000000000005,1873
-80.85999999999986,38.23000000000005,1982
-81.15,38.22000000000005,1152
-81.14,38.22000000000005,1402
-81.11999999999999,38.22000000000005,1223
-81.08999999999997,38.22000000000005,1530
-81.06999999999996,38.22000000000005,1816
-81.05999999999996,38.22000000000005,1184
-81.04999999999995,38.22000000000005,1148
-81.01999999999994,38.22000000000005,1565
-81.00999999999993,38.22000000000005,1434
-80.98999999999992,38.22000000000005,1548
-80.95999999999991,38.22000000000005,1839
-80.9399999999999,38.22000000000005,1397
-80.9299999999999,38.22000000000005,1414
-80.88999999999987,38.22000000000005,1319
-81.14,38.21000000000005,1231
-81.10999999999999,38.21000000000005,1178
-81.04999999999995,38.21000000000005,1071
-81.00999999999993,38.21000000000005,1409
-80.98999999999992,38.21000000000005,1563
-80.95999999999991,38.21000000000005,1490
-80.9499999999999,38.21000000000005,1484
-80.9299999999999,38.21000000000005,2232
-80.91999999999989,38.21000000000005,1965
-80.90999999999988,38.21000000000005,1661
-80.89999999999988,38.21000000000005,1784
-80.85999999999986,38.21000000000005,1712
